정답,연도,월,번호,단원,유형,서술형
3,2008,3,37,2008-03-37,[일치불일치],■ 보기 번호에 해당하는 내용을 각각 찾아서 본문에 밑줄 표시하시고 각 보기에서 틀린 내용을 올바르게 고치세요.
5,2008,3,38,2008-03-38,[요지],■ obey에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ break the rule에 해당하는 어구에 모두 파란색 표시하세요.\r\n■ 글쓴이의 주장에 해당하는 어구에 모두 밑줄 표시하세요.
2,2008,3,39,2008-03-39,[요지],■ exercise in the evening에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ exercising in the morning에 해당하는 어구에 모두 파란색 표시하세요.
3,2008,3,40,2008-03-40,[문장넣기],■ artificial light가 발명되기 전의 삶에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ artificial light가 발명된 후의 삶에 해당하는 어구에 모두 파란색 표시하세요.
3,2008,3,41,2008-03-41,[제목],■ Many people go to college의 이유에 해당하는 어구에 모두 파란색 표시하세요.
4,2008,3,42,2008-03-42,[제목],■ Antarctica의 특징 및 일반 사람들이 잘못된 생각에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 글쓴이의 주장 및 예시에 해당하는 어구에 모두 파란색 표시하세요.
3,2008,3,43,2008-03-43,[심경분위기],■ 이 글의 분위기에 해당하는 어구에 모두 파란색 표시하세요.
1,2008,3,44,2008-03-44,[순서],■ 이 글에서 앞 문장과의 연결고리가 될 수 있는 연결사를 찾아 세모표시하시고 대명사가 있으면 앞 문장의 무엇을 나타내는지 쓰세요.\r\n■ Gene의 역할에 해당하는 어구에 모두 빨
1,2008,3,45,2008-03-45,[요약문완성],■ taking more time에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ taking more time의 이유에 해당하는 어구에 모두 파란색 표시하세요.
1,2008,3,46,2008-03-46,[장문3],■ 이 글에서 앞 문장과의 연결고리가 될 수 있는 연결사를 찾아 세모표시하시고 대명사가 있으면 앞 문장의 무엇을 나타내는지 쓰세요.\r\n■ merchant가 한 행동에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ stableboy가 한 행동에 해당하는 어구에 모두 파란색 표시하세요.
3,2008,3,47,2008-03-47,[장문3],
1,2008,3,48,2008-03-48,[장문3],
2,2008,3,49,2008-03-49,[장문2],■ uneasy feeling에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ felt very proud에 해당하는 어구에 모두 파란색 표시하세요.
2,2008,3,50,2008-03-50,[장문2],
5,2008,6,18,2008-06-18,[지칭추론],■ this의 특징에 해당하는 어구에 모두 파란색 표시하세요.
4,2008,6,19,2008-06-19,[지칭추론],■ Microprocessors의 기능에 해당하는 어구에 모두 빨간색 표시하세요.
1,2008,6,20,2008-06-20,[목적],■ 이 글을 쓴 배경에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 이 글의 목적에 해당하는 어구에 모두 파란색 표시하세요.
4,2008,6,21,2008-06-21,[어법],"■ (A), (B), (C) 의 어법 출제의도를 서술하세요.\r\n■ 이 글의 핵심어에 동그라미 표시하시고, 핵심어의 특징에 해당하는 어구에 모두 파란색 표시하세요."
4,2008,6,22,2008-06-22,[어법],■ 각 문항 당 어법 출제 의도를 서술하세요.\r\n■ 이 글의 문제점에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 문제점에 대한 해결책에 해당하는 어구에 모두 파란색 표시하세요.
3,2008,6,23,2008-06-23,[무관한문장],■ Information technology에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ Information technology와 반대 개념에 해당하는 어구에 모두 파란색 표시하세요.
5,2008,6,24,2008-06-24,[빈칸],■ childlike와 비슷한 개념에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ childlike와 반대 개념에 해당하는 어구에 모두 파란색 표시하세요.
1,2008,6,25,2008-06-25,[빈칸],■ sport의 분위기에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ social inequality 에 해당하는 어구에 모두 파란색 표시하세요.
4,2008,6,26,2008-06-26,[빈칸],"■ ""문제점""에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ ""해결책""에 해당하는 어구에 모두 파란색 표시하세요."
2,2008,6,27,2008-06-27,[빈칸],■ 핵심어에 동그라미 표시하세요.\r\n■ 핵심어가 소개한 목록에 해당하는 어구에 모두 파란색 표시하세요.
3,2008,6,28,2008-06-28,[어휘],"■ ""문제점""에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ ""해결책""에 해당하는 어구에 모두 파란색 표시하세요."
3,2008,6,29,2008-06-29,[그림],■ 이 글에서 틀린 부분을 찾으시고 올바르게 고치세요.
3,2008,6,30,2008-06-30,[심경분위기],■ 필자의 심경에 해당하는 어구에 모두 파란색 표시하세요.
2,2008,6,31,2008-06-31,[연결사],■ Computers can't operate in Swahili에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ change에 해당하는 어구에 모두 파란색 표시하세요.
1,2008,6,32,2008-06-32,[주장],■ small stuff에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ lose touch with the magic and beauty of life.에 해당하는 어구에 모두 파란색 표시하세요.
1,2008,6,33,2008-06-33,[주제],■ In the past에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ now에 해당하는 어구에 모두 파란색 표시하세요.
4,2008,6,34,2008-06-34,[주제],■ variable climate에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ discourages people에 해당하는 어구에 모두 파란색 표시하세요.
5,2008,6,35,2008-06-35,[도표],■ 도표에서 틀린 문장을 찾아서 올바르게 고치세요.
4,2008,6,36,2008-06-36,[일치불일치],"■ 각 문항에 해당하는 내용에 밑줄 표시하시고, 틀린 부분을 바로 고치세요."
4,2008,6,37,2008-06-37,[일치불일치],"■ 각 문항에 해당하는 내용에 밑줄 표시하시고, 틀린 부분을 바로 고치세요."
3,2008,6,38,2008-06-38,[문장넣기],■ 이 글에서 앞 문장과의 연결고리가 될 수 있는 연결사를 찾아 세모표시하시고 대명사가 있으면 앞 문장의 무엇을 나타내는지 쓰세요.\r\n■ Claudius가 한일에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ Valentine가 한일에 해당하는 어구에 모두 파란색 표시하세요.
2,2008,6,39,2008-06-39,[요지],"■ ""문제점""에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ ""해결책""에 해당하는 어구에 모두 파란색 표시하세요."
5,2008,6,40,2008-06-40,[요지],■ intentional exercise에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ intentional exercise의 반대 개념에 해당하는 어구에 모두 파란색 표시하세요.
4,2008,6,41,2008-06-41,[제목],■ 이 글의 핵심어에 동그라미 표시하세요.\r\n■ 핵심어의 특징에 해당하는 어구에 모두 파란색 표시하세요.
2,2008,6,42,2008-06-42,[제목],"■ ""winds""에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ ""effects""에 해당하는 어구에 모두 파란색 표시하세요."
4,2008,6,43,2008-06-43,[심경분위기],■ 이 글의 분위기에 해당하는 어구에 모두 파란색 표시하세요.
5,2008,6,44,2008-06-44,[순서],"■ 이 글에서 앞 문장과의 연결고리가 될 수 있는 연결사를 찾아 세모표시하시고 대명사가 있으면 앞 문장의 무엇을 나타내는지 쓰세요.\r\n■ ""문제점""에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ ""해결책"" 및 ""결과"" 에 해당하는 어구에 모두 파란색 표시하세요."
5,2008,6,45,2008-06-45,[요약문완성],"■ dog's character에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ ""suitable""에 해당하는 어구에 모두 파란색 표시하세요."
3,2008,6,46,2008-06-46,[장문3],■ 이 글에서 앞 문장과의 연결고리가 될 수 있는 연결사를 찾아 세모표시하시고 대명사가 있으면 앞 문장의 무엇을 나타내는지 쓰세요.\r\n■ Dad가 한 일에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ I가 한 일에 해당하는 어구에 모두 파란색 표시하세요.
4,2008,6,47,2008-06-47,[장문3],
2,2008,6,48,2008-06-48,[장문3],
2,2008,6,49,2008-06-49,[장문2],■ Person A의 주장에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ Person B의 주장에 해당하는 어구에 모두 파란색 표시하세요.
3,2008,6,50,2008-06-50,[장문2],
2,2008,9,18,2008-09-18,[지칭추론],■ here의 특징에 해당하는 어구에 모두 파란색 표시하세요.
2,2008,9,19,2008-09-19,[지칭추론],■ Julio Iglesias의 행동에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ doctor의 행동에 해당하는 어구에 모두 파란색 표시하세요.
4,2008,9,20,2008-09-20,[목적],■ 이 글을 쓴 배경에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 이 글을 쓴 목적에 해당하는 어구에 모두 파란색 표시하세요.
2,2008,9,21,2008-09-21,[어법],■ 각 항목에 대한 문법적 출제 의도를 말하시고 정답을 고르세요.\r\n■ My wife and I에게 발생한 일에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ Farmer가 한일에 해당하는 어구에 모두 파란색 표시하세요.
4,2008,9,22,2008-09-22,[빈칸],■ The archers of the day가 한일 및 결과에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ The emperor가 한일 및 효과에 해당하는 어구에 모두 파란색 표시하세요.
2,2008,9,23,2008-09-23,[빈칸],■ Computer keyboards에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ main cause에 해당하는 어구에 모두 파란색 표시하세요.
1,2008,9,24,2008-09-24,[빈칸],■ Betty에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ Amanda에 해당하는 어구에 모두 파란색 표시하세요.
1,2008,9,25,2008-09-25,[빈칸],■ glittering jewel에 대한 owner의 태도에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ glittering jewel에 대한 rooster의 태도에 해당하는 어구에 모두 파란색 표시하세요.
5,2008,9,26,2008-09-26,[어법],■ 각 번호의 어법적 출제의도를 서술하시고 틀린 것을 올바르게 고치세요.\r\n■ 이 글에서 나타난 doctor와 mechanic의 공통점에 해당하는 어구에 모두 파란색 표시하세요.
4,2008,9,27,2008-09-27,[무관한문장],"■ ""문제점""에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ ""해결책""에 해당하는 어구에 모두 파란색 표시하세요."
2,2008,9,28,2008-09-28,[어휘],"■ ""say good things""에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ ""글 읽는 사람이 주의해야 할 점""에 해당하는 어구에 모두 파란색 표시하세요."
5,2008,9,29,2008-09-29,[심경분위기],■ 필자의 심경에 해당하는 어구에 모두 파란색 표시하세요.
4,2008,9,30,2008-09-30,[그림],■ 이 글의 정답을 찾으시고 알맞은 단어로 고치세요.
4,2008,9,31,2008-09-31,[연결사],■ field of science에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ field of science와 반대 개념에 해당하는 어구에 모두 파란색 표시하세요.
4,2008,9,32,2008-09-32,[주제],"■ ""문제점""에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ ""해결책""에 해당하는 어구에 모두 파란색 표시하세요."
1,2008,9,33,2008-09-33,[주제],■ family time에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ family time의 의미 혹은 가치에 해당하는 어구에 모두 파란색 표시하세요.
1,2008,9,34,2008-09-34,[주장],■ 이 글에서 필자가 처한 상황에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 이 글에서 필자의 주장에 해당하는 어구에 모두 파란색 표시하세요.
2,2008,9,35,2008-09-35,[도표],■ 도표와 일치하지 않는 번호를 고르시고 올바르게 고치세요.
3,2008,9,36,2008-09-36,[일치불일치],■ 보기 번호에 해당하는 내용을 각각 찾아서 본문에 밑줄 표시하시고 각 보기에서 틀린 내용을 올바르게 고치세요.
2,2008,9,37,2008-09-37,[일치불일치],■ 보기 번호에 해당하는 내용을 각각 찾아서 본문에 밑줄 표시하시고 각 보기에서 틀린 내용을 올바르게 고치세요.
3,2008,9,38,2008-09-38,[요지],■ learn about nature에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ experience nature에 해당하는 어구에 모두 파란색 표시하세요.
4,2008,9,39,2008-09-39,[요지],■ original story에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ movie에 해당하는 어구에 모두 파란색 표시하세요.
4,2008,9,40,2008-09-40,[문장넣기],■ ordinary composer에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ success에 해당하는 어구에 모두 파란색 표시하세요.
4,2008,9,41,2008-09-41,[제목],■ earning close to a dollar에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ earning close to a dollar의 목적 및 이유에 해당하는 어구에 모두 파란색 표시하세요.
5,2008,9,42,2008-09-42,[제목],■ Dan and Ted에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ Uncle에 해당하는 어구에 모두 파란색 표시하세요.
2,2008,9,43,2008-09-43,[심경분위기],■ 이 글의 분위기에 해당하는 어구에 모두 파란색 표시하세요.
2,2008,9,44,2008-09-44,[순서],"■ 이 글에서 앞 문장과의 연결고리가 될 수 있는 연결사를 찾아 세모표시하시고 대명사가 있으면 앞 문장의 무엇을 나타내는지 쓰세요.\r\n■ Prime Minister의 철학, 행동원칙에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ Prime Minister 행동의 이유에 해당하는 어구에 모두 파란색 표시하세요."
1,2008,9,45,2008-09-45,[요약문완성],■ Sean의 생각 및 행동에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ I의 생각 및 행동에 해당하는 어구에 모두 파란색 표시하세요.
4,2008,9,46,2008-09-46,[장문3],■ 이 글에서 앞 문장과의 연결고리가 될 수 있는 연결사를 찾아 세모표시하시고 대명사가 있으면 앞 문장의 무엇을 나타내는지 쓰세요.\r\n■ painter의 행동에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ young boy의 행동에 해당하는 어구에 모두 파란색 표시하세요.
3,2008,9,47,2008-09-47,[장문3],
4,2008,9,48,2008-09-48,[장문3],
5,2008,9,49,2008-09-49,[장문2],■ person A의 주장 및 근거에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ person B의 주장 및 근거에 해당하는 어구에 모두 파란색 표시하세요.
4,2008,9,50,2008-09-50,[장문2],
3,2008,11,18,2008-11-18,[지칭추론],■ 이것의 특징에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 이것의 기능에 해당하는 어구에 모두 파란색 표시하세요.
5,2008,11,19,2008-11-19,[지칭추론],■ A man이 한 행동에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ one of the shopkeepers가 한 행동에 해당하는 어구에 모두 파란색 표시하세요.
4,2008,11,20,2008-11-20,[목적],■ 이 글을 쓴 배경에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 이 글을 쓴 목적에 해당하는 어구에 모두 파란색 표시하세요.
5,2008,11,21,2008-11-21,[어법],■ 문법적 출제 의도를 서술하시고 정답을 고르세요.\r\n■ 이글의 핵심어와 핵심어의 정의에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 핵심어가 어떻게 진행되는지 해당하는 어구에 모두 파란색 표시하세요.\r\n■ 핵심어를 읽을 때 명심해야 할 점에 해당하는 어구에 모두 밑줄 표시하세요.
4,2008,11,22,2008-11-22,[어법],■ 각 항목에 대한 문법적 출제 의도를 말하시고 틀린 것은 올바르게 고치세요.\r\n■ 뉴턴의 생각 및 행동에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 어머니의 생각 및 행동 해당하는 어구에 모두 파란색 표시하세요.
3,2008,11,23,2008-11-23,[무관한문장],■ 이 글의 핵심어에 동그라미 표시하세요.\r\n■ 글쓴이의 느낌에 해당하는 어구에 모두 파란색 표시하세요.
1,2008,11,24,2008-11-24,[빈칸],■ mother에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ daughter에 해당하는 어구에 모두 파란색 표시하세요.
1,2008,11,25,2008-11-25,[빈칸],■ Decades ago에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ Today에 해당하는 어구에 모두 파란색 표시하세요.
3,2008,11,26,2008-11-26,[빈칸],■ Augustus의 생각에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ Augustus의 정책에 해당하는 어구에 모두 파란색 표시하세요.
4,2008,11,27,2008-11-27,[빈칸],■ Sara가 한 말에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 글쓴이가 Sara에게 한말에 해당하는 어구에 모두 파란색 표시하세요.
3,2008,11,28,2008-11-28,[어휘],■ 이 글의 핵심어 및 핵심어의 역할에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 핵심어의 단점에 해당하는 어구에 모두 파란색 표시하세요.
4,2008,11,29,2008-11-29,[그림],■ 그림과 맞지 않는 번호를 고르시고 올바르게 고치세요.
4,2008,11,30,2008-11-30,[심경분위기],■ 초반 필자의 심정에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 후반 필자의 심정에 해당하는 어구에 모두 파란색 표시하세요.
2,2008,11,31,2008-11-31,[연결사],■ 이 글의 주제문에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 주제문을 뒷받침하기 위한 예시에 해당하는 어구에 모두 파란색 표시하세요.
5,2008,11,32,2008-11-32,[주장],■ 하지 말아야 할 것에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 해야 할 것에 해당하는 어구에 모두 파란색 표시하세요.
1,2008,11,33,2008-11-33,[주제],■ expectation에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ essential qualities of a good book에 해당하는 어구에 모두 파란색 표시하세요.
4,2008,11,34,2008-11-34,[주제],■ hairstyle에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ personality에 해당하는 어구에 모두 파란색 표시하세요.
5,2008,11,35,2008-11-35,[도표],■ 도표의 내용과 일치하지 않는 문장을 올바로 고치세요.
4,2008,11,36,2008-11-36,[일치불일치],■ 각 문항에 대한 것을 본문에 모두 밑줄 표시하시고 일치하지 않는 내용은 올바르게 고치세요.
2,2008,11,37,2008-11-37,[일치불일치],■ 각 문항에 대한 것을 본문에 모두 밑줄 표시하시고 일치하지 않는 내용은 올바르게 고치세요.
2,2008,11,38,2008-11-38,[요지],■ fence의 단점에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ fence가 없을때 장점에 해당하는 어구에 모두 파란색 표시하세요.
2,2008,11,39,2008-11-39,[요지],■ 글 초반에 나타난 일반적인 사람들의 통념에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 필자의 주장 및 근거에 해당하는 어구에 모두 파란색 표시하세요.
4,2008,11,40,2008-11-40,[문장넣기],■ 이 글에서 앞 문장과의 연결고리가 될 수 있는 연결사를 찾아 세모표시하시고 대명사가 있으면 앞 문장의 무엇을 나타내는지 쓰세요.\r\n■ 그림을 벽에 걸기 위한 과정에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 그림을 벽에 걸고 난 후에 해당하는 어구에 모두 파란색 표시하세요.
2,2008,11,41,2008-11-41,[제목],■ IMAGE Gallery의 특징에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ visitor들이 할 수 있는 것에 해당하는 어구에 모두 파란색 표시하세요.
3,2008,11,42,2008-11-42,[제목],■ learn에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ forget에 해당하는 어구에 모두 파란색 표시하세요.
3,2008,11,43,2008-11-43,[심경분위기],■ 이 글의 분위기에 해당하는 어구에 모두 파란색 표시하세요.
5,2008,11,44,2008-11-44,[순서],■ 이 글에서 앞 문장과의 연결고리가 될 수 있는 연결사를 찾아 세모표시하시고 대명사가 있으면 앞 문장의 무엇을 나타내는지 쓰세요.\r\n■ 제시문에서 발생한 문제점에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 알아낸 사실에 해당하는 어구에 모두 파란색 표시하세요.
3,2008,11,45,2008-11-45,[요약문완성],■ no라고 말하는 것의 이유 및 효과에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ no라고 말하는 것에 해당하는 어구에 모두 파란색 표시하세요.
4,2008,11,46,2008-11-46,[장문3],■ 이 글에서 앞 문장과의 연결고리가 될 수 있는 연결사를 찾아 세모표시하시고 대명사가 있으면 앞 문장의 무엇을 나타내는지 쓰세요.\r\n■ Dad의 행동 및 생각에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 아들의 행동 및 생각에 해당하는 어구에 모두 파란색 표시하세요.
5,2008,11,47,2008-11-47,[장문3],
1,2008,11,48,2008-11-48,[장문3],
5,2008,11,49,2008-11-49,[장문2],"■ (A),(B)에서 academic tests에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ (A),(B)에서 academic tests와 반대 개념의 에 해당하는 어구에 모두 파란색 표시하세요."
3,2008,11,50,2008-11-50,[장문2],
3,2009,3,18,2009-03-18,[지칭추론],■ This의 특징에 해당하는 어구에 모두 파란색 표시하세요.
4,2009,3,19,2009-03-19,[지칭추론],■ Brian의 행동에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ father의 행동에 해당하는 어구에 모두 파란색 표시하세요.
3,2009,3,20,2009-03-20,[목적],■ 이 글을 쓴 배경에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 이 글을 쓴 목적에 해당하는 어구에 모두 파란색 표시하세요.
2,2009,3,21,2009-03-21,[어법],"■ 각 항목에 대한 문법적 출제 의도를 말하시고 정답을 고르세요.\r\n■ ""mistake""에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ ""밝혀진 사실""에 해당하는 어구에 모두 파란색 표시하세요."
4,2009,3,22,2009-03-22,[어법],■ 각 항목에 대한 문법적 출제 의도를 말하시고 틀린 것은 올바르게 고치세요.\r\n■ Martin의 이사 가기 전의 태도에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ Martin의 이사 간 후 태도에 해당하는 어구에 모두 파란색 표시하세요.
3,2009,3,23,2009-03-23,[무관한문장],■ 아이들이 글을 읽을 줄 안다에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 아이들이 두려워하는것/희망사항에 해당하는 어구에 모두 파란색 표시하세요.
1,2009,3,24,2009-03-24,[빈칸],■ takes away the right of revenge에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ gives the right에 해당하는 어구에 모두 파란색 표시하세요.
3,2009,3,25,2009-03-25,[빈칸],"■ ""food""에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ ""relation""에 해당하는 어구에 모두 파란색 표시하세요."
5,2009,3,26,2009-03-26,[빈칸],■ dinosaurs에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ reptiles 에 해당하는 어구에 모두 파란색 표시하세요.
4,2009,3,27,2009-03-27,[빈칸],■ 이 글의 상황에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ wrong messages에 해당하는 어구에 모두 파란색 표시하세요.
1,2009,3,28,2009-03-28,[어휘],"■ ""문제점""에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ ""해결책"" 및 ""효과""에 해당하는 어구에 모두 파란색 표시하세요."
3,2009,3,29,2009-03-29,[그림],■ 이 글에서 틀린 번호를 찾으시고 올바르게 고쳐쓰세요.
3,2009,3,30,2009-03-30,[심경분위기],■ 이 글에서 she의 심정에 해당하는 어구에 모두 파란색 표시하세요.
5,2009,3,31,2009-03-31,[연결사],■ dark and gloomy에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ generous and understanding에 해당하는 어구에 모두 파란색 표시하세요.
4,2009,3,32,2009-03-32,[주제],"■ ""문제점""에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ ""해결책"" 및 ""효과""에 해당하는 어구에 모두 파란색 표시하세요."
2,2009,3,33,2009-03-33,[주제],■ forget 에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ recall에 해당하는 어구에 모두 파란색 표시하세요.
2,2009,3,34,2009-03-34,[주장],■ Good looks에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ Good looks의 반대 개념에 해당하는 어구에 모두 파란색 표시하세요.
3,2009,3,35,2009-03-35,[도표],■ 이 글의 정답을 찾고 올바른 문장으로 고치세요.
5,2009,3,36,2009-03-36,[일치불일치],■ 이 글의 정답을 찾고 정답에 해당하는 문장에 형광펜 표시하세요.
1,2009,3,37,2009-03-37,[일치불일치],■ 이 글의 정답을 찾고 올바른 문장으로 고치세요.
2,2009,3,38,2009-03-38,[요지],■ 글쓴이가 어렸을 때 상황에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 요즘 아이들에 해당하는 어구에 모두 파란색 표시하세요.
1,2009,3,39,2009-03-39,[요지],■ Knowledge에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ ability to think well에 해당하는 어구에 모두 파란색 표시하세요.
